case,baseline,candidate,mode,layer,datatype,baseline_area_um2,candidate_area_um2,intersection_area_um2,only_baseline_area_um2,only_candidate_area_um2,xor_area_um2,overlap_ratio,baseline_polygons,candidate_polygons,baseline_bbox_um,candidate_bbox_um
multiportmmi_8x8,python_original,cpp,raw,45,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,raw,47,0,45304.0,45304.0,45304.0,0.0,0.0,0.0,1.0,56,56,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,raw,49,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,raw,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,1,0,40969.866737,40969.591461,40967.596707,2.211461,2.00439,4.215851,0.999947952,224,222,"[0.5, 422.125, 4370.664, 1172.875]","[0.5, 422.125, 4370.664, 1172.875]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,2,0,4655.950596,4655.950596,4655.832072,0.118649,0.118649,0.237298,0.999974544,42,42,"[0.0, 437.127, 4371.164, 1162.873]","[0.0, 437.127, 4371.164, 1162.873]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,43,0,1372.0,1372.0,1372.0,0.0,0.0,0.0,1.0,2800,2800,"[531.75, 445.65, 3840.85, 1176.975]","[531.75, 445.65, 3840.85, 1176.975]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,44,0,878.08,1372.0,0.0,878.08,1372.0,2250.08,0.0,1792,2800,"[532.75, 446.65, 3839.85, 1175.975]","[531.75, 445.65, 3840.85, 1176.975]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,45,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,47,0,45304.0,45304.0,45304.0,0.0,0.0,0.0,1.0,56,56,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,49,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112,"[530.6, 444.5, 3842.0, 1178.125]","[530.6, 444.5, 3842.0, 1178.125]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
multiportmmi_16x16,standard,cpp,raw,1,0,141549.287623,141549.144655,141540.662973,8.689256,8.48224,17.171496,0.999939575,415,414,"[0.5, 822.125, 6908.164, 2372.875]","[0.5, 822.125, 6908.164, 2372.875]"
multiportmmi_16x16,standard,cpp,raw,2,0,8805.28728,8805.28728,8804.532859,0.754684,0.754684,1.509368,0.999914322,80,80,"[0.0, 837.127, 6908.664, 2362.873]","[0.0, 837.127, 6908.664, 2362.873]"
multiportmmi_16x16,standard,cpp,raw,43,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600,"[877.25, 845.65, 5802.35, 2376.975]","[877.25, 845.65, 5802.35, 2376.975]"
multiportmmi_16x16,standard,cpp,raw,44,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600,"[877.25, 845.65, 5802.35, 2376.975]","[877.25, 845.65, 5802.35, 2376.975]"
multiportmmi_16x16,standard,cpp,raw,45,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,raw,47,0,90608.0,90608.0,90608.0,0.0,0.0,0.0,1.0,112,112,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,raw,49,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,raw,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,1,0,141549.287623,141549.144655,141540.662973,8.689256,8.48224,17.171496,0.999939575,415,414,"[0.5, 822.125, 6908.164, 2372.875]","[0.5, 822.125, 6908.164, 2372.875]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,2,0,8805.28728,8805.28728,8804.532859,0.754684,0.754684,1.509368,0.999914322,80,80,"[0.0, 837.127, 6908.664, 2362.873]","[0.0, 837.127, 6908.664, 2362.873]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,43,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600,"[877.25, 845.65, 5802.35, 2376.975]","[877.25, 845.65, 5802.35, 2376.975]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,44,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600,"[877.25, 845.65, 5802.35, 2376.975]","[877.25, 845.65, 5802.35, 2376.975]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,45,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,47,0,90608.0,90608.0,90608.0,0.0,0.0,0.0,1.0,112,112,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,49,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
multiportmmi_16x16,standard,python_original,raw,1,0,141549.287623,141549.403496,141546.823703,2.512425,2.565782,5.078207,0.999982184,415,415,"[0.5, 822.125, 6908.164, 2372.875]","[0.5, 822.125, 6908.164, 2372.875]"
multiportmmi_16x16,standard,python_original,raw,2,0,8805.28728,8805.28728,8804.978008,0.309447,0.309447,0.618894,0.999964877,80,80,"[0.0, 837.127, 6908.664, 2362.873]","[0.0, 837.127, 6908.664, 2362.873]"
multiportmmi_16x16,standard,python_original,raw,43,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600,"[877.25, 845.65, 5802.35, 2376.975]","[877.25, 845.65, 5802.35, 2376.975]"
multiportmmi_16x16,standard,python_original,raw,44,0,2744.0,1756.16,0.0,2744.0,1756.16,4500.16,0.0,5600,3584,"[877.25, 845.65, 5802.35, 2376.975]","[878.25, 846.65, 5801.35, 2375.975]"
multiportmmi_16x16,standard,python_original,raw,45,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,python_original,raw,47,0,90608.0,90608.0,90608.0,0.0,0.0,0.0,1.0,112,112,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,python_original,raw,49,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224,"[876.1, 844.5, 5803.5, 2378.125]","[876.1, 844.5, 5803.5, 2378.125]"
multiportmmi_16x16,standard,python_original,raw,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
multiportmmi_16x16,standard,python_original,candidate_bbox_ll_aligned,1,0,141549.287623,141549.403496,141546.823703,2.512425,2.565782,5.078207,0.999982184,415,415,"[0.5, 822.125, 6908.164, 2372.875]","[0.5, 822.125, 6908.164, 2372.875]"
multiportmmi_16x16,standard,python_original,candidate_bbox_ll_aligned,2,0,8805.28728,8805.28728,8804.978008,0.309447,0.309447,0.618894,0.999964877,80,80,"[0.0, 837.127, 6908.664, 2362.873]","[0.0, 837.127, 6908.664, 2362.873]"
